Lema;LlenguaOrigen;Lemes_Morfema;PluralIrregular;CatGramatical;NivellLlengua;CatSemantica
andròfob;;-a;;adjectiu i masculí i femení;;
anecdotisme;;;;masculí;;
angiogràfic;;-a;;adjectiu;;
angiològic;;-a;;adjectiu;;
angstrom;;;;masculí;;
anisosil·labisme;;;;masculí;;
anisset;;;;;;
anoploide;;;;masculí singular;;
anoploide;;;;masculí plural;;
anouera;;;;femení;;
anouerar;;;;masculí;;
anoueta;;;;femení;;
antedit;;-a;;adjectiu;;
anteprojecte;;;;masculí;;
antiartístic;;-a;;adjectiu;;
antibromera;;;;adjectiu invariable i masculí;;
anticomunitari;;-ària;;adjectiu i masculí i femení;;
anticongestiu;;-iva;;adjectiu;;
anticultura;;;;femení;;
antideportiu;;-iva;;adjectiu;;
antifeminisme;;;;masculí;;
antifeminista;;;;masculí i femení;;
antifeminista;;;;adjectiu;;
antigó;;;;masculí;;
antineoplàsic;;-a;;adjectiu i masculí;;
antipapat;;;;masculí;;
antipapista;;;;masculí i femení;;
antipell;;;;adjectiu invariable;;
antipoliomielític;;-a;;adjectiu i masculí;;
antirebuig;;;-utjos o -uigs;adjectiu invariable i masculí;;
antiverí;;;;adjectiu i masculí;;
antropogràfic;;-a;;adjectiu;;
antropomorfiste;;-a;;adjectiu i masculí i femení;;
antropòsof;;-a;;masculí i femení;;
antropòsof;;-a;;adjectiu;;
antrosòl;;;;masculí;;
anuir;;;;verb intransitiu;;
apaellat;;-ada;;adjectiu;;
apagaciris;;;;masculí invariable;;
apagadís;;-issa;;adjectiu;;
apagó;;;;masculí;;
apalancament;;;;masculí;;
apanollat;;-ada;;adjectiu;;
apanyacadires;;;;masculí i femení invariable;;
apanyacalces;;;;masculí i femení invariable;;
apanyacossis;;;;masculí i femení invariable;;
aparcacotxes;;;;masculí i femení invariable;;
apatuscar;;;;verb transitiu;;
apegadís;;-issa;;adjectiu;;
apegalís;;-issa;;adjectiu;;
apegalositat;;;;femení;;
apegament;;;;masculí;;
aperesar-se;;;aperear-se;verb pronominal;;
apiaci;;-àcia;;adjectiu i femení;;
apiciforme;;;;adjectiu;;
apitjament;;;;Masculí;;
apitjar;;;;verb transitiu i intransitiu;;
apitjat;;-ada;;adjectiu i masculí;;
apitonar;;;;verb transitiu;;
apitonar;;;;verb pronominal;;
apitonar;;;;verb intransitiu;;
aplàsic;;-a;;adjectiu;;
aplicatiu;;-iva;;adjectiu;;
aporigar;;;;verb transitiu i pronominal;;
aporrejament;;;;masculí;;
aporrejar;;;;verb transitiu;;
aporrejar;;;;verb pronominal;;
aportellament;;;;masculí;;
aportellar;;;;verb transitiu;;
apreador;;-a;;masculí i femení;;
apreament;;;;masculí;;
aprear;;;;verb transitiu;;
apremi;;;;masculí;;
apremiant;;;;adjectiu;;
apremiar;;;;verb transitiu;;
apretó;;;;masculí;;
apretunyar;;;;verb transitiu;;
aprimó;;;;masculí;;
apriorista;;;;masculí i femení;;
apriorista;;;;adjectiu;;
apropòsit;;;;masculí;;
aprovençalat;;-ada;;adjectiu;;
apud;llatí;;;preposició;;
apulgonament;;;;masculí;;
apulgonar-se;;;;verb pronominal;;
aquarel·lar;;;;verb transitiu;;
aquarel·lístic;;-a;;adjectiu;;
aquet;;-a;;adjectiu;;
aquet;;-a;;masculí;;
aracnofòbia;;;;femení;;
aracnològic;;-a;;adjectiu;;
araquidònic;;;;adjectiu s.l.;;
arcus;;;;masculí invariable;;
arenador;;-a;;adjectiu;;
arenadora;;;;femení;;
argamassar;;;;verb transitiu;;
argirosi;;;;femení;;
armatost;;;;masculí;;
armut;;;;masculí;;
arquejador;;-a;;masculí i femení;;
arqueozoòleg;;-òloga;;masculí i femení;;
arquetada;;;;femení;;
arquiloqueu;;;;masculí;;
arraigades;;;;femení plural;;
arraïl;;;;femení;;
arraïlament;;;;masculí;;
arraïlar;;;;verb intransitiu i pronominal;;
arrancapotes;;;;masculí invariable;;
arranca-sondes;;;;masculí invariable;;
arrapaaltars;;;;masculí i femení;;pejoratiu
arrapacrestes;;;;masculí invariable;;
arrapador;;-a;;adjectiu i masculí i femení;;
arrapa-fuig;;;;loc. adv. s.l.;;
arrapall;;;;masculí;;
arrapapeus;;;;loc. adv. s.l.;;
arrapó;;-ona;;masculí;;
arrapó;;-ona;;loc. adv.;;
arrapó;;-ona;;adjectiu i masculí i femení;;
arrasmar;;;;verb transitiu;;
arreculadores;;;;femení plural;;
arreglaparròquies;;;;adjectiu i masculí invariable;;pejoratiu
arrematar;;;;verb transitiu;;
arremullada;;;;femení;;
arremullador;;;;masculí;;
arremullament;;;;masculí;;
arremullar;;;;verb transitiu;;
arremullat;;-ada;;adjectiu;;
arremulló;;;;masculí;;
arrepretada;;;;femení;;
arrepretar;;;;verb transitiu;;
arrepretar;;;;verb pronominal;;
arrepretó;;;;masculí;;
arrepunyar;;;;verb transitiu;;
arreüssar;;;;verb transitiu;;
arrevistat;;-ada;;adjectiu;;
arriador;;-a;;adjectiu i masculí i femení;;
arrimadís;;-issa;;adjectiu;;
arritranc;;;;masculí;;
arritranca;;;;femení;;
arroglar;;;;verb transitiu;;
arrugó;;;;masculí;;
arruixadina;;;;femení;;
arruixim;;;;masculí;;
arsalí;;;;masculí;;
arseniós;;;;adjectiu s.l.;;
arterioloesclerosi;;;;femení;;
artètic;;-a;;adjectiu i masculí i femení;;
aruspicina;;;;femení;;
arxiconfrare;;-aressa;;masculí i femení;;
ascarídide;;;;masculí plural;;
ascarídide;;;;masculí singular;;
ascític;;-a;;adjectiu;;
asclador;;-a;;masculí i femení;;
asfaltador;;-a;;adjectiu;;
asfaltadora;;;;femení;;
asistemàtic;;-a;;adjectiu;;
asper;;-a;;adjectiu i masculí i femení;;
asper;;-a;;adjectiu;;
asquenazi;;;;adjectiu i masculí i femení;;
assaboridor;;-a;;masculí i femení;;
assaciable;;;;adjectiu;;
assaciament;;;;masculí;;
assagetament;;;;masculí;;
assalmonat;;-ada;;adjectiu;;
assentadura;;;;femení;;
assilvestrament;;;;masculí;;
assilvestrar-se;;;;verb pronominal;;
assolacambres;;;;masculí invariable;;
assorrar;;;;verb transitiu;;
assorrar;;;;verb pronominal;;
assucar;;;;verb transitiu;;
assucar;;;;verb pronominal;;
assurat;;-ada;;adjectiu;;
asteroïdal;;;;adjectiu;;
astomia;;;;femení;;
astorinar-se;;;;verb pronominal;;
astoró;;;;masculí;;
àstrofe;;;;masculí;;
astrogràfic;;-a;;adjectiu;;
astromància;;;;femení;;
astronometria;;;;femení;;
asturianisme;;;;masculí;;
asturianista;;;;masculí i femení;;
asturianista;;;;adjectiu;;
atabollar;;;;verb transitiu;;
atabollar;;;;verb pronominal;;
atabollat;;-ada;;adjectiu;;
atanyent;;;;adjectiu;;
atarussar;;;;verb transitiu;;
atauladora;;;;femení;;
ataular;;;;verb transitiu;;
atavanat;;-ada;;adjectiu;;
atemperament;;;;masculí;;
atemperar;;;;verb transitiu i pronominal;;
atenallar;;;;verb transitiu;;
atenedor;;-a;;adjectiu;;
ateroesclerosi;;;;femení;;
atesament;;;;masculí;;
atesar;;;;verb transitiu;;
atestador;;-a;;masculí i femení;;
atibacament;;;;masculí;;
atibar;;;;verb transitiu, intransitiu i pronominal;;
atigrat;;-ada;;adjectiu;;
atipicitat;;;;femení;;
atitlat;;-ada;;adjectiu;;
atrenellat;;-ada;;adjectiu;;
atribulament;;;;masculí;;
atroncar-se;;;;verb pronominal;;
atropoll;;;;masculí;;
aturrulladament;;;;adverbi;;
aturrullador;;-a;;adjectiu;;
aturrullament;;;;masculí;;
aturrullar;;;;verb transitiu i pronominal;;
audífon;;;;masculí;;
audiofonologia;;;;femení;;
audiopròtesi;;;;femení;;
auditòrium;;;;masculí;;
aüixador;;;;masculí;;
aüixament;;;;masculí;;
aüixó;;;;masculí;;
auranciàcia;;;;femení plural;;
auranciàcia;;;;femení singular;;
aüssada;;;;femení;;
aüssador;;-a;;adjectiu;;
aüssar;;;;verb transitiu i pronominal;;
aüssar;;;;verb transitiu;;
aüssó;;;;masculí;;
austracista;;;;adjectiu i masculí i femení;;
austriacisme;;;;masculí;;
autoarrancada;;;;femení;;
autoconeiximent;;;;masculí;;
autodefinit;;;;masculí;;
autodegradar-se;;;;verb pronominal;;
autoestimular-se;;;;verb pronominal;;
autoexiliar-se;;;;verb pronominal;;
autofàgic;;-a;;adjectiu;;
autoflagel·lació;;;;femení;;
autoimmolació;;;;femení;;
autoimmolar-se;;;;verb pronominal;;
autolesionar-se;;;;verb pronominal;;
automarginat;;-ada;;adjectiu i masculí i femení;;
autoqualificar-se;;;;verb pronominal;;
autoregular-se;;;;verb pronominal;;
autorelaxar-se;;;;verb pronominal;;
autoreproduir-se;;;;verb pronominal;;
autosuggestionar-se;;;;verb pronominal;;
autotempre;;;;masculí;;
avalencianar;;;;verb transitiu i pronominal;;
avalista;;;;masculí i femení;;
avalotament;;;;masculí;;
aveall;;;;masculí;;
avenar;;;;masculí;;
aventador;;-a;;adjectiu i masculí i femení;;
aventamosques;;;;masculí invariable;;
aventar;;;;verb transitiu, intransitiu i pronominal;;
aventó;;;;masculí;;
avernal;;;;adjectiu;;
avolumar;;;;verb transitiu;;
avortir;;;;verb intransitiu;;
axampanyat;;-ada;;adjectiu;;
ayn;;;;femení;;
b;;;;femení;;
ba;;;bas;femení;;
baasista;;;;masculí i femení;;
babi;;;;masculí;infantil;
babota;;;;femení;;
bacallarer;;-a;;masculí i femení;;
bacallarer;;-a;;masculí;;
bacallarer;;-a;;adjectiu;;
bacallareria;;;;femení;;
bacallaret;;;;masculí;;
bacavés;;-esa;;masculí;;
bacavés;;-esa;;adjectiu;;
bacinejar;;;;verb intransitiu;;
bacinilla;;;;femení;;
bacor;;;;adjectiu s.l.;;
badaner;;-a;;masculí i femení;;
bafa;;;;femení;;
baferada;;;;femení;;
bahamià;;-ana;;adjectiu i masculí i femení;;
bahamià;;-ana;;adjectiu;;
bainer;;;;masculí;;
baineta;;;;femení;;
baixagarrofes;;;;masculí i femení invariable;;
baixmarge;;;;masculí;;
baixonada;;;;femení;;
baixvora;;;;femení;;
bajoqueral;;;;masculí;;
balandreus;;;;masculí plural;;
balastrada;;;;femení;;
baldavelló;;;;masculí;;
baldòria;;;;femení;;
baldovell;;;;masculí;;
baldovella;;;;femení;;
ballarugar;;;;verb intransitiu i pronominal;;
balona;;;;femení;;
balsemer;;;;masculí;;
balsemera;;;;femení;;
balzem;;;;loc. adv. s.l.;;
bambalejar;;;;verb transitiu, intransitiu i pronominal;;
bambalina;;;;femení;;
bambeig;;;;masculí;;
bananar;;;;masculí;;
bancarització;;;;femení;;
banderillejar;;;;verb transitiu;;
bando;;;;masculí;;
banyadina;;;;femení;;
barallofa;;;;femení;;
baralluga;;;;femení;;
barastell;;;;masculí;;
barbadià;;-ana;;adjectiu i masculí i femení;;
barbadià;;-ana;;adjectiu;;
barbapiu;;-a;;adjectiu;;
barcaresenc;;-a;;adjectiu i masculí i femení;;
barcaresenc;;-a;;adjectiu;;
barcellut;;-uda;;adjectiu i masculí i femení;;
barceta;;;;femení;;
bardal;;;;masculí;;
bardir;;;;verb transitiu;;
bardissada;;;;femení;;
bardomera;;;;femení;;
barganyar;;;;verb transitiu i intransitiu;;
barrafustada;;;;femení;;
barranquís;;;-issos;masculí;;
barranquissada;;;;femení;;
barregot;;;;masculí;;
barsa;;;;femení;;
basquinya;;;;femení;;
bassadina;;;;femení;;
bastenaga;;;;femení;;
bastor;;;;femení;;
basuto;;;;adjectiu i masculí i femení;;
basuto;;;;adjectiu;;
batzagues;;;;masculí invariable;;
baülaire;;;;masculí i femení;;
beator;;;;femení;;
becassa;;;;femení;;
becdur;;;;masculí;;
belenc;;-a;;adjectiu i masculí i femení;;
belenc;;-a;;adjectiu;;
belizià;;-ana;;adjectiu i masculí i femení;;
belizià;;-ana;;adjectiu;;
bellerola;;;;femení;;
bellestarenc;;-a;;adjectiu i masculí i femení;;
bellestarenc;;-a;;adjectiu;;
bell-lloquí;;-ina;;adjectiu i masculí i femení;;
bell-lloquí;;-ina;;adjectiu;;
bellmarí;;;;masculí;;
belloter;;;;masculí;;
belloteta;;;;femení;;
belluerna;;;;femení;;
benagai;;-a;;adjectiu i masculí i femení;;
benauirat;;-ada;;adjectiu i masculí i femení;;
bencreent;;;;adjectiu;;
beniaier;;-a;;adjectiu i masculí i femení;;
beniaier;;-a;;adjectiu;;
benialier;;-a;;adjectiu i masculí i femení;;
benialier;;-a;;adjectiu;;
beniardut;;-uda;;adjectiu i masculí i femení;;
benifaragí;;-ina;;adjectiu i masculí i femení;;
benifaragí;;-ina;;adjectiu;;
benimuslemer;;-a;;adjectiu i masculí i femení;;
benissenc;;-a;;adjectiu i masculí i femení;;
berberetxo;;;;masculí;;
bereber;;;;adjectiu i masculí i femení;;
berlinga;;;;femení;;
besable;;;;adjectiu;;
besucar;;;;verb transitiu;;
betacista;;;;adjectiu i masculí i femení;;
bieta;;;;femení;;
bífio;;-a;;adjectiu;;
bifòbia;;;;femení;;
biguer;;-a;;masculí i femení;;
biguer;;-a;;adjectiu;;
bilocar-se;;;;verb pronominal;;
bilogia;;;;femení;;
bindi;;;;masculí;;
binguer;;-a;;adjectiu;;
binguer;;-a;;masculí i femení;;
bioastronàutica;;;;femení;;
biosatèl·lit;;;;masculí;;
bipedació;;;;femení;;
bipropulsant;;;;masculí;;
bipropulsor;;;;masculí;;
biscot;;;;masculí;;
bísol;;;;masculí;;
bitlada;;;;femení;;
bitlar;;;;verb transitiu;;
bitler;;;;masculí;;
bitlera;;;;femení;;
bitlletatge;;;;masculí;;
bitlot;;;;masculí;;
bituminar;;;;verb transitiu;;
bitxec;;;;masculí;;
bitzoc;;-a;;masculí i femení;;
blaïdor;;-a;;adjectiu;;
blair;;;;verb transitiu;;
blandó;;;;masculí;;
blandonera;;;;femení;;
blanquejament;;;;masculí;;
blanquissal;;;;masculí;;
blanquissar;;;;masculí;;
blasonador;;-a;;adjectiu;;
blaüró;;;;masculí;;
blefaroespasme;;;;masculí;;
bloc-diagrama;;;;masculí;;
boater;;-a;;adjectiu i masculí i femení;;
boater;;-a;;adjectiu;;
boïguer;;-a;;masculí i femení;;
boiregada;;;;femení;;
boireguina;;;;femení;;
boixeral;;;;masculí;;
boixeter;;-a;;masculí i femení;;
bolidroc;;;;masculí;;
bolinxó;;;;masculí;;
bollidera;;;;femení;;
bolquerés;;-esa;;adjectiu i masculí i femení;;
bolquerés;;-esa;;adjectiu;;
bombardeta;;;;femení;;
bombejable;;;;adjectiu;;
bompasenc;;-a;;adjectiu i masculí i femení;;
bompasenc;;-a;;adjectiu;;
bonyígol;;;;masculí;;
bonyigós;;-osa;;adjectiu;;
bonyítol;;;;masculí;;
bonzo;;;;masculí;;
boquimoll;;-a;;adjectiu i masculí i femení;;
borbotó;;;;loc. adv.;;
bordissó;;;;masculí;;
bòrfega;;;;femení;;
boriolet;;;;masculí;;
borrador;;;;masculí;;
borrar;;;;verb intransitiu;;
borrar;;;;verb transitiu i pronominal;;
borrat;;-ada;;adjectiu;;
borreguet;;;;masculí;;
borreguet;;;;locució;;
borreguisme;;;;masculí;;pejoratiu
borrelló;;;;masculí;;
borriol;;;;masculí;;
borrony;;;;masculí;;
borrufalla;;;;femení;;
bossa nova;portugués;;;femení;;
bossadina;;;;femení;;
bossar;;;;verb transitiu;;
bossar;;;;verb transitiu i intransitiu;;
bosseria;;;;femení;;
bossicó;;;;masculí;;
botafionar;;;;verb transitiu;;
botafumeiro;;;;masculí;;
botallol;;;;masculí;;
botejador;;-a;;masculí i femení;;
boticaix;;;;masculí;;
botifarroner;;-a;;adjectiu i masculí i femení;;
botzar;;;;verb transitiu;;
braçall;;;;masculí;;
braçut;;-uda;;adjectiu;;
brafada;;;;femení;;
bragam;;;;masculí;;
bramor;;;;femení;;
bramuc;;;;masculí;;
bramugar;;;;verb intransitiu;;
bramulador;;-a;;adjectiu;;
brasilam;;;;masculí;;
brasilar;;;;masculí;;
bravonell;;;;masculí;;
bravós;;-a;;adjectiu;;
bravositat;;;;femení;;
breguer;;-a;;adjectiu;;
breguera;;;;femení;;
bresquilleral;;;;masculí;;
brigantina;;;;femení;;
brillantós;;-osa;;adjectiu;;
brisanya;;;;femení;;
bròcul;;;;masculí;;
bromesc;;-a;;adjectiu;;
bromobenzina;;;;femení;;
broncocele;;;;femení;;
broncoestenosi;;;;femení;;
broncorràgia;;;;femení;;
brondir;;;;verb intransitiu;;
brontofòbia;;;;femení;;
brontotèrid;;;;masculí;;
bronxa;;;;femení;;
broquerets;;;;masculí plural;;
brosquil;;;;masculí;;
brossegal;;;;masculí;;
brosteguera;;;;femení;;
brotís;;;-issos;masculí;;
brotissada;;;;femení;;
brotxantita;;;;femení;;
bruixologia;;;;femení;;
brumerol;;;;masculí;;
bruneiés;;-esa;;adjectiu i masculí i femení;;
bruneiés;;-esa;;adjectiu;;
brusentor;;;;femení;;
brutós;;-osa;;adjectiu;;
buborota;;;;femení;;
buclejar;;;;verb intransitiu;;
buçó;;;;masculí;;
budellet;;;;masculí;;
buidacananes;;;;masculí invariable;;
buleries;;;;femení plural;;
bull terrier;anglés;;;masculí;;
bult;;;;masculí;;
bumberol;;;;masculí;;
bumbot;;;;masculí;;
burinador;;;;masculí;;
burló;;-ona;;adjectiu i masculí i femení;;
burló;;-ona;;adjectiu;;
burri-barra;;;;loc. adv. s.l.;;
buscafresses;;;;masculí i femení invariable;;
buscametalls;;;;masculí invariable;;
buscapoals;;;;masculí invariable;;
busca-renous;;;;masculí i femení invariable;;
busca-renyines;;;;masculí i femení invariable;;
busca-revoltes;;;;masculí i femení invariable;;
buscatòfones;;;;masculí invariable;;
busil·lis;;;;masculí invariable;;
busnada;;;;femení;;
busquerola;;;;femení;;
bustiatge;;;;masculí;;
bustier;;;;masculí;;
butlador;;;;masculí;;
butlaire;;;;masculí i femení;;
butlar;;;;verb transitiu;;
butlari;;;;masculí;;
butler;;-a;;masculí i femení;;
butller;;-a;;masculí i femení;;
butró;;;;masculí;;
butroner;;-a;;masculí i femení;;
C;;;;femení;;
cabanyal;;;;masculí;;
cabdetà;;-ana;;adjectiu i masculí i femení;;
cabdetà;;-ana;;adjectiu;;
cabellets;;;;masculí plural;;
caboteria;;;;femení;;
cabrafigueral;;;;masculí;;
cabrerissa;;;;femení;;
cabriolejar;;;;verb intransitiu;;
caçatorpeders;;;;masculí invariable;;
cacaua;;;;femení;;
cacereny;;-a;;adjectiu i masculí i femení;;
cacereny;;-a;;adjectiu;;
cadafaler;;-a;;masculí i femení;;
cadirada;;;;femení;;
cadireria;;;;femení;;
cadirot;;;;masculí;;
cafarnaüm;;;;masculí;;
cafeïcultor;;-a;;masculí i femení;;
cafinitrina;;;;femení;;
cagaestaques;;;;masculí invariable;;
caïnisme;;;;masculí;;
caixmar;;;;verb transitiu;;
caixonada;;;;femení;;
calabuixa;;;;femení;;
calamaret;;;;masculí;;
calamaró;;;;masculí;;
calcador;;-a;;masculí i femení;;
calçadura;;;;femení;;
calçut;;-uda;;adjectiu;;
calderonet;;;;masculí;;
càlem;;;;masculí;;
calfamans;;;;masculí invariable;;
calforro;;-a;;adjectiu i masculí i femení;vulgar;
callòs;;;;masculí;;
callusenc;;-a;;adjectiu i masculí i femení;;
callusenc;;-a;;adjectiu;;
calorifugar;;;;verb transitiu;;
caloritzar;;;;verb transitiu;;
camalló;;;;masculí;;
camarot;;;;masculí;;
camarra;;;;femení;;
cambronar;;;;masculí;;
camelenc;;-a;;adjectiu i masculí i femení;;
camelenc;;-a;;adjectiu;;
camelleta;;;;femení;;
camó;;;;masculí;;
can;;;;contracció;;
canaladura;;;;femení;;
canalat;;;;masculí;;
canallesc;;-a;;adjectiu;;
canasta;;;;femení;;
canceròleg;;-òloga;;masculí i femení;;
cancerològic;;-a;;adjectiu;;
cançonada;;;;femení;;
candonguer;;-a;;adjectiu;;
canela;;;;femení;;
canemer;;-a;;adjectiu;;
cano;;;;masculí;;
cantalet;;;;masculí i femení;;
cantalet;;;;loc. verb.;;
cantarulla;;;;femení;;
canterets;;;;masculí plural;;
cantinal;;;;masculí;;
cantunyar;;;;verb intransitiu;;
canxa;;;;femení;;
canyamís;;;-issos;masculí;;
canyaró;;;;masculí;;
canyaules;;;;masculí invariable;;
canyauli;;;;adjectiu i masculí i femení;;
capdur;;;;masculí;;
capelaire;;;;masculí;;
capitellada;;;;femení;;
capmanyenc;;-a;;adjectiu i masculí i femení;;
capmanyenc;;-a;;adjectiu;;
capnomància;;;;femení;;
capollada;;;;femení;;
capollar;;;;verb intransitiu;;
caporró;;;;masculí;;
caporronada;;;;femení;;
caporrutxa;;;;femení;;
caporrutxar;;;;verb transitiu;;
caporrutxo;;;;masculí;;
caporrutxo;;;;loc. verb.;;
capotet;;;;masculí;;
capritxo;;;;masculí;;
capsulat;;-ada;;adjectiu;;
captorn;;;;masculí;;
caquisser;;;;masculí;;
carabasseral;;;;masculí;;
carabassinada;;;;femení;;
carabassut;;;;locució;;
caradura;;;;adjectiu i masculí i femení;;
carafal;;;;masculí;;
caragolejar;;;;verb intransitiu;;
caramanyola;;;;femení;;
caramboixa;;;;femení;;
carantoina;;;;femení;;
carar;;;;verb transitiu;;
cara-xuplat;;-ada;;adjectiu;;
carbòlic;;;;adjectiu s.l.;;
carbonúria;;;;femení;;
carcasselles;;;;loc. adv. s.l.;;
carcasser;;-a;;masculí i femení;;
carcavó;;;;masculí;;
carcinològic;;-a;;adjectiu;;
cardanxa;;;;femení;;
cardanxar;;;;masculí;;
cardinxar;;;;masculí;;
cardioangiologia;;;;femení;;
cardiocirurgia;;;;femení;;
cardiocirurgià;;-ana;;masculí i femení;;
cardioesclerosi;;;;femení;;
cardioespasme;;;;masculí;;
cardioestenosi;;;;femení;;
càrdium;;;;masculí;;
cardonxa;;;;femení;;
carencial;;;;adjectiu;;
carenòstil;;;;masculí;;
carent;;;;adjectiu;;
carer;;-a;;adjectiu;;
cariació;;;;femení;;
caricaturejar;;;;verb transitiu;;
cariciós;;-osa;;adjectiu;;
cariós;;-osa;;adjectiu;;
caripena;;;;femení;;
carletà;;-ana;;adjectiu i masculí i femení;;
carneratge;;;;masculí;;
carnestoltenc;;-a;;adjectiu;;
carosi;;;;femení;;
carpesà;;-ana;;adjectiu i masculí i femení;;
carpesà;;-ana;;adjectiu;;
carracateu;;;;masculí;;
carracateu;;;;masculí i femení;;
carragheen;;;;masculí;;
carrancló;;-ona;;adjectiu i masculí i femení;;
carrascós;;-osa;;adjectiu;;
carrascosa;;;;femení;;
carrasquera;;;;femení;;
carrasqueral;;;;masculí;;
carregable;;;;adjectiu;;
carrejador;;-a;;masculí i femení;;
carrejador;;-a;;masculí;;
carrejament;;;;Masculí;;
carretejador;;-a;;masculí i femení;;
carreteria;;;;femení;;
carrís;;;-issos;masculí;;
carrissal;;;;masculí;;
carrissar;;;;masculí;;
carritxal;;;;masculí;;
carromato;;;;masculí;;
carruatger;;-a;;masculí i femení;;
cartòmetre;;;;masculí;;
cartutxada;;;;femení;;
carxer;;-a;;adjectiu i masculí i femení;;
carxer;;-a;;adjectiu;;
carxofada;;;;femení;;
carxofeta;;;;femení;;
casamenter;;-a;;adjectiu i masculí i femení;;
